"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"156","08119024","2074","1052","50","9443","9443","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9443","None","None","None","None","None","Großerlach",9.516108,49.053922
"157","08119037","2062","1094","23","12006","12006","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12006","None","None","None","None","None","Kaisersbach",9.639182,48.928912
"158","08119038","2884","1659","33","21648","21648","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21648","None","None","None","None","None","Kirchberg an der Murr",9.34086,48.943006
"159","08119041","8359","4456","64","74032","74032","None","6956","8734","None","None","None","None","None","None","None","None","None","None","None","None","None","None","33422","None","None","None","None","None","None","None","None","24920","None","None","None","None","None","Korb",9.361341,48.841999
"160","08119042","8968","4483","76","73281","73281","26924","16339","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21075","None","8943","None","None","None","Leutenbach",9.392571,48.887529
"161","08119044","10896","4944","77","81646","81646","None","19404","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","26647","None","None","None","None","None","None","None","None","35595","None","None","None","None","None","Murrhardt, Stadt",9.579648,48.980867
"162","08119053","3289","1763","78","22752","22752","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22752","None","None","None","None","None","Oppenweiler",9.458817,48.984096
"163","08119055","7436","3818","95","62071","62071","20478","13712","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","18214","None","9667","None","None","None","Plüderhausen",9.599182,48.795519
"164","08119061","9100","4577","174","77408","77408","20671","8747","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","25161","None","22829","None","None","None","Rudersberg",9.529647,48.883356
"165","08119067","31114","14287","469","386993","386993","123284","110326","69886","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","83497","None","None","None","None","None","None","None","None","None","None","None","None","Schorndorf, Stadt",9.52512,48.80531
"166","08119068","7347","3772","58","61829","61829","None","19317","11522","None","None","None","None","None","None","None","None","None","None","None","None","None","None","23400","None","7590","None","None","None","None","None","None","None","None","None","None","None","None","Schwaikheim",9.34922,48.877358
"167","08119069","1711","949","44","8214","8214","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8214","None","None","None","None","None","Spiegelberg",9.445716,49.039689
"168","08119075","4057","2108","50","27100","27100","None","2704","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10774","None","None","None","None","None","None","None","None","13622","None","None","None","None","None","Sulzbach an der Murr",9.501017,49.002908
"169","08119076","6846","3692","43","62409","62409","15931","14039","8439","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","24000","None","None","None","None","None","Urbach",9.576727,48.81022
"170","08119079","41610","17860","607","484761","484761","142197","106814","None","39722","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","126827","None","69201","None","None","None","Waiblingen, Stadt",9.315987,48.83229
"171","08119083","5927","3117","47","52106","52106","None","9796","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19736","None","None","None","None","None","None","None","None","22574","None","None","None","None","None","Weissach im Tal",9.47773,48.929826
"172","08119084","8414","4178","140","67077","67077","17270","12187","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","37620","None","None","None","None","None","Welzheim, Stadt",9.63467,48.874336
"173","08119085","21421","10162","254","233631","233631","70179","39364","None","24407","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","63076","None","36605","None","None","None","Winnenden, Stadt",9.396202,48.877185
"174","08119086","6085","3595","118","58538","58538","11472","8823","9260","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","28983","None","None","None","None","None","Winterbach",9.479554,48.799784
"175","08119087","6390","3217","45","53165","53165","None","10188","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16373","None","None","None","None","None","None","None","None","25547","None","None","None","None","1057","Aspach",9.397127,48.96663
"176","08119089","5021","2887","131","40626","40626","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","40626","None","None","None","None","None","Berglen",9.469424,48.861445
"177","08119090","11083","6127","130","121631","121631","30936","23528","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17306","None","None","None","None","None","None","49861","None","None","None","None","None","Remshalden",9.442436,48.810023
"178","08119091","21156","11090","198","257311","257311","91080","50454","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","71313","None","44464","None","None","None","Weinstadt, Stadt",9.385556,48.803451
"179","08119093","12182","6439","114","128942","128942","40726","26807","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","38827","None","22582","None","None","None","Kernen im Remstal",9.317937,48.808537
"180","08121000","87295","34250","587","1197423","1197423","367378","323762","151323","107355","37305","None","None","None","49444","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","160856","None","None","None","None","None","Heilbronn, Stadt",9.217953,49.140428
"181","08125001","3589","1953","38","25290","25290","10576","6416","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8298","None","None","None","None","None","Abstatt",9.290986,49.068456
"182","08125005","13650","5448","300","106130","106130","42686","29598","None","3860","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","29986","None","None","None","None","None","Bad Friedrichshall, Stadt",9.218098,49.22469
"183","08125006","16521","7107","519","151925","151925","60718","37853","None","None","None","None","15844","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","18306","None","19204","None","None","None","Bad Rappenau, Stadt",9.103117,49.240303
"184","08125007","5364","2759","49","45985","45985","None","12551","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19951","None","6855","None","None","None","None","None","None","None","None","6628","None","None","None","Bad Wimpfen, Stadt",9.163305,49.228198
"185","08125008","4904","3000","21","50161","50161","13290","None","None","4591","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7128","None","None","None","None","None","None","None","25152","None","None","None","None","None","Beilstein, Stadt",9.313798,49.040994
"186","08125013","11941","5910","223","111313","111313","37375","17704","None","None","2237","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","30611","None","23386","None","None","None","Brackenheim, Stadt",9.06714,49.078435
"187","08125017","2410","1215","21","13652","13652","6361","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","5353","None","1938","None","None","None","Cleebronn",9.036794,49.044478
"188","08125021","2539","1485","31","19398","19398","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7653","4049","None","None","None","None","None","None","None","5002","None","2694","None","None","None","Eberstadt",9.320938,49.180243
"189","08125024","2754","1526","19","17032","17032","3891","3711","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9430","None","None","None","None","None","Ellhofen",9.321498,49.146658
"190","08125026","16363","7687","571","138611","138611","54412","39188","16146","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","28865","None","None","None","None","None","Eppingen, Stadt",8.909012,49.137701
"191","08125027","3956","2286","42","29554","29554","13634","1875","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14045","None","None","None","None","None","Erlenbach",9.268814,49.170228
"192","08125030","5526","3268","41","54901","54901","None","15161","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14119","None","None","None","None","None","None","None","None","25621","None","None","None","None","None","Flein",9.213902,49.100989
"193","08125034","3801","1929","60","25456","25456","8350","6534","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10572","None","None","None","None","None","Gemmingen",8.982537,49.156795
"194","08125038","4254","1986","78","31125","31125","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","31125","None","None","None","None","None","Güglingen, Stadt",8.99847,49.066703
"195","08125039","5685","3244","113","55158","55158","18909","13509","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22740","None","None","None","None","None","Gundelsheim, Stadt",9.160815,49.284163
"196","08125046","6800","3350","163","55762","55762","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","32080","23682","None","None","None","None","None","None","None","None","None","None","None","None","None","Ilsfeld",9.24477,49.05512
"197","08125047","1911","1035","55","11259","11259","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7496","None","None","None","3763","None","Ittlingen",8.933835,49.192169
"198","08125048","1259","697","30","7411","7411","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7411","None","None","None","None","None","Jagsthausen",9.469854,49.309857
"199","08125049","4150","1832","64","22006","22006","7207","7972","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6827","None","None","None","None","None","Kirchardt",8.990394,49.205097
"200","08125056","8405","4374","93","88726","88726","31409","15923","12261","12717","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16416","None","None","None","None","None","Lauffen am Neckar, Stadt",9.150312,49.076213
"201","08125057","1752","1064","16","10191","10191","None","3908","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6283","None","None","None","None","None","Lehrensteinsfeld",9.32639,49.130481
"202","08125058","8685","4304","52","71823","71823","21578","13217","17620","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19408","None","None","None","None","None","Leingarten",9.127562,49.143857
"203","08125059","2592","1402","33","15849","15849","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15849","None","None","None","None","None","Löwenstein, Stadt",9.380173,49.095993
"204","08125061","2743","1586","50","19949","19949","7691","3965","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8293","None","None","None","None","None","Massenbachhausen",9.043423,49.177809
"205","08125063","6227","2765","127","44862","44862","None","8629","8263","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11777","None","None","None","None","None","None","None","None","16193","None","None","None","None","None","Möckmühl, Stadt",9.359823,49.323117
"206","08125065","18549","8375","401","170361","170361","68227","54849","22234","5082","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19969","None","None","None","None","None","Neckarsulm, Stadt",9.223944,49.190147
"207","08125066","3082","1434","22","16230","16230","5878","4454","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","5898","None","None","None","None","None","Neckarwestheim",9.193304,49.047055
"208","08125068","4001","1969","127","27459","27459","8496","4495","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14468","None","None","None","None","None","Neudenau, Stadt",9.270659,49.292642
"209","08125069","7597","3619","211","55608","55608","24816","9591","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21201","None","None","None","None","None","Neuenstadt am Kocher, Stadt",9.330987,49.237185
"210","08125074","6142","3170","107","49834","49834","13862","13577","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22395","None","None","None","None","None","Nordheim",9.126068,49.109167
"211","08125078","4824","2455","76","38287","38287","20307","6023","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11957","None","None","None","None","None","Oedheim",9.257536,49.239986
"212","08125079","2086","1053","25","11460","11460","4263","4369","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2828","None","None","None","None","None","Offenau",9.163268,49.243887
"213","08125081","1723","928","43","9980","9980","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9980","None","None","None","None","None","Pfaffenhofen",8.975253,49.063969
"214","08125084","1140","622","22","5824","5824","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","5824","None","None","None","None","None","Roigheim",9.340511,49.363701
"215","08125086","8701","4479","237","80894","80894","22890","19329","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","27743","None","10932","None","None","None","Schwaigern, Stadt",9.056965,49.141683
"216","08125087","1260","645","19","5931","5931","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","5931","None","None","None","None","None","Siegelsbach",9.089791,49.271185
"217","08125094","3984","2343","23","30626","30626","11876","4405","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14345","None","None","None","None","None","Talheim",9.193502,49.083283
"218","08125096","3193","1697","33","22013","22013","4209","5291","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12513","None","None","None","None","None","Untereisesheim",9.202008,49.210623
"219","08125098","6479","3628","131","51048","51048","None","13217","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15873","None","None","None","None","None","None","None","None","21958","None","None","None","None","None","Untergruppenbach",9.276206,49.091469
"220","08125102","8940","4377","188","78066","78066","19437","11308","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","47321","None","None","None","None","None","Weinsberg, Stadt",9.285758,49.150258
"221","08125103","1510","904","36","9678","9678","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9678","None","None","None","None","None","Widdern, Stadt",9.421596,49.318041
"222","08125107","5417","2649","90","35773","35773","None","10078","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","25695","None","None","None","None","None","Wüstenrot",9.460742,49.080263
"223","08125108","3101","1666","63","16989","16989","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16989","None","None","None","None","None","Zaberfeld",8.928773,49.055967
"224","08125110","10589","5367","109","106099","106099","25822","25734","21321","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","33222","None","None","None","None","None","Obersulm",9.384003,49.135333
"225","08125111","3093","1698","65","22418","22418","8697","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13721","None","None","None","None","None","Hardthausen am Kocher",9.40273,49.241418
"226","08125113","2960","1476","55","18543","18543","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14800","None","None","None","3743","None","Langenbrettach",9.381284,49.224779
"227","08126011","9978","4662","276","73546","73546","22838","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15209","None","None","None","None","None","None","None","35499","None","None","None","None","None","Bretzfeld",9.440237,49.177232
"228","08126020","1911","1241","52","12503","12503","5816","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6687","None","None","None","None","None","Dörzbach",9.706625,49.383492
"229","08126028","3984","2039","67","29256","29256","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","29256","None","None","None","None","None","Forchtenberg, Stadt",9.562246,49.287249
"230","08126039","4536","2641","57","40385","40385","18603","5543","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16239","None","None","None","None","None","Ingelfingen, Stadt",9.654049,49.299402
"231","08126045","3720","2059","69","28752","28752","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8750","None","None","None","None","None","None","None","None","20002","None","None","None","None","None","Krautheim, Stadt",9.634435,49.384904
"232","08126046","11842","5743","129","110733","110733","39067","24939","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","46727","None","None","None","None","None","Künzelsau, Stadt",9.687069,49.277894
"233","08126047","4713","2306","91","35012","35012","None","8378","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","26634","None","None","None","None","None","Kupferzell",9.68958,49.227563
"234","08126056","2999","1969","62","28903","28903","15537","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13366","None","None","None","None","None","Mulfingen",9.801118,49.340479
"235","08126058","5022","2514","89","41750","41750","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","41750","None","None","None","None","None","Neuenstein, Stadt",9.582512,49.205365
"236","08126060","3199","1666","18","22185","22185","2580","4939","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14666","None","None","None","None","None","Niedernhall, Stadt",9.614213,49.295659
"237","08126066","18311","7462","358","151569","151569","46916","23038","None","8375","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21280","None","None","None","None","None","51960","None","None","None","None","None","Öhringen, Stadt",9.505805,49.201464
"238","08126069","7305","3433","148","57457","57457","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","25189","None","None","None","None","None","None","None","None","32268","None","None","None","None","None","Pfedelbach",9.503745,49.17696
"239","08126072","4677","3073","134","46919","46919","28829","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","18090","None","None","None","None","None","Schöntal",9.52668,49.344441
"240","08126085","2411","1243","68","14747","14747","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14747","None","None","None","None","None","Waldenburg, Stadt",9.642224,49.18656
"241","08126086","1643","773","20","8375","8375","None","1219","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7156","None","None","None","None","None","Weißbach",9.595907,49.299966
"242","08126094","1389","771","15","7419","7419","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7419","None","None","None","None","None","Zweiflingen",9.518026,49.25588
"243","08127008","4176","2096","83","34628","34628","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","20434","None","None","None","None","None","None","None","None","14194","None","None","None","None","None","Blaufelden",9.974402,49.297785
"244","08127009","2065","1033","9","8864","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Braunsbach",9.791297,49.198935
"245","08127012","2530","1138","23","10019","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Bühlertann",9.908566,49.041125
"246","08127013","1737","865","21","8140","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Bühlerzell",9.918872,49.003231
"247","08127014","26573","9301","353","241737","241737","97625","63961","27784","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","52367","None","None","None","None","None","Crailsheim, Stadt",10.071139,49.135752
"248","08127023","2311","1280","36","14273","14273","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14273","None","None","None","None","None","Fichtenberg",9.712826,48.986058
"249","08127025","9039","4107","115","80316","80316","21238","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21035","None","None","None","None","None","None","None","38043","None","None","None","None","None","Gaildorf, Stadt",9.76983,49.00045
"250","08127032","3524","1720","55","25748","25748","6479","5087","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14182","None","None","None","None","None","Gerabronn, Stadt",9.922672,49.251834
"251","08127043","4920","2526","115","43803","43803","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19247","None","None","None","None","None","None","None","None","24556","None","None","None","None","None","Ilshofen, Stadt",9.921075,49.169825
"252","08127046","3318","1712","67","26254","26254","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","20417","None","5837","None","None","None","Kirchberg an der Jagst, Stadt",9.981388,49.20226
"253","08127047","1459","966","16","10611","10611","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10611","None","None","None","None","None","Langenburg, Stadt",9.849831,49.253622
"254","08127052","4725","2345","69","42335","42335","14950","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","27385","None","None","None","None","None","Mainhardt",9.55678,49.075798
"255","08127056","2721","1508","51","18574","18574","None","5787","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","12787","None","None","None","None","None","Michelbach an der Bilz",9.762378,49.069624
"256","08127059","3026","1661","63","21715","21715","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21715","None","None","None","None","None","Michelfeld",9.679757,49.097131
"257","08127062","2804","1402","26","18202","18202","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","18202","None","None","None","None","None","Oberrot",9.66391,49.013928
"258","08127063","3839","1834","141","22315","22315","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22315","None","None","None","None","None","Obersontheim",9.89935,49.057122
"259","08127071","4272","2245","100","39339","39339","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","20615","None","None","None","None","None","None","None","None","18724","None","None","None","None","None","Rot am See",10.02557,49.248906
"260","08127073","4244","1977","103","28826","28826","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","28826","None","None","None","None","None","Satteldorf",10.081515,49.170293
"261","08127075","4674","2349","82","42310","42310","13728","5737","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22845","None","None","None","None","None","Schrozberg, Stadt",9.979876,49.344875
"262","08127076","29530","13177","367","387162","387162","96376","92508","90557","36187","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","71534","None","None","None","None","None","Schwäbisch Hall, Stadt",9.739951,49.111579
"263","08127079","2165","1132","54","11997","11997","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11997","None","None","None","None","None","Sulzbach-Laufen",9.845198,48.965928
"264","08127086","2397","1191","14","10195","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Untermünkheim",9.733211,49.152884
"265","08127089","3452","1655","86","19510","19510","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19510","None","None","None","None","None","Vellberg, Stadt",9.880771,49.086487
"266","08127091","2865","1188","19","13978","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Wallhausen",10.063061,49.211863
"267","08127099","1623","938","38","11148","11148","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11148","None","None","None","None","None","Wolpertshausen",9.845223,49.167105
"268","08127100","4100","2017","69","30503","30503","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","30503","None","None","None","None","None","Rosengarten",9.726334,49.066934
"269","08127101","3269","1522","56","22764","22764","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","22764","None","None","None","None","None","Kreßberg",10.184266,49.130659
"270","08127102","3660","1897","76","29229","29229","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","25945","None","None","None","3284","None","Fichtenau",10.207151,49.070628
"271","08127103","3928","1994","64","30262","30262","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","30262","None","None","None","None","None","Frankenhardt",9.980093,49.081875
"272","08127104","2470","1113","17","10038","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Stimpfach",10.090569,49.062419
"273","08128006","1748","1229","55","13290","13290","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13290","None","None","None","None","None","Assamstadt",9.686743,49.427324
"274","08128007","18244","9243","376","182314","182314","90860","25326","27515","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6329","None","None","None","None","None","None","32284","None","None","None","None","None","Bad Mergentheim, Stadt",9.773085,49.490973
"275","08128014","5476","3170","143","48020","48020","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","48020","None","None","None","None","None","Boxberg, Stadt",9.642832,49.484971
"276","08128020","3914","2550","94","38534","38534","None","12006","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","26528","None","None","None","None","None","Creglingen, Stadt",10.032709,49.470427
"277","08128039","3128","1890","91","27274","27274","18844","4024","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","4406","None","None","None","None","None","Freudenberg, Stadt",9.324222,49.742099
"278","08128045","3345","2085","165","26826","26826","9848","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16978","None","None","None","None","None","Großrinderfeld",9.733541,49.665421
"279","08128047","3065","1995","106","28691","28691","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16568","None","None","None","None","None","None","None","None","12123","None","None","None","None","None","Grünsfeld, Stadt",9.744701,49.607521
"280","08128058","4586","2675","81","41321","41321","17136","3148","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","21037","None","None","None","None","None","Igersheim",9.815731,49.496624
"281","08128061","2603","1801","82","26793","26793","8917","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17876","None","None","None","None","None","Königheim",9.592932,49.618084
"282","08128064","4378","2827","96","41592","41592","22390","5432","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13770","None","None","None","None","None","Külsheim, Stadt",9.517596,49.670835
"283","08128082","4092","2335","61","35236","35236","7470","3045","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","24721","None","None","None","None","None","Niederstetten, Stadt",9.917243,49.401781
