"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"28","08116004","4472","2178","73","35870","35870","11547","10287","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14036","None","None","None","None","None","Altbach",9.380166,48.723629
"29","08116005","1241","778","30","7179","7179","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7179","None","None","None","None","None","Altdorf",9.271505,48.594688
"30","08116006","1526","981","10","9375","9375","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1137","None","None","None","None","None","None","None","8238","None","None","None","None","None","Altenriet",9.221764,48.591482
"31","08116007","4527","2503","48","32742","32742","6802","3573","6582","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","15785","None","None","None","None","None","Baltmannsweiler",9.448403,48.742625
"32","08116008","2781","1516","45","19041","19041","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8406","None","None","None","None","None","None","None","10635","None","None","None","None","None","Bempflingen",9.26546,48.573217
"33","08116011","2927","1672","51","21205","21205","9794","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11411","None","None","None","None","None","Beuren",9.400911,48.570156
"34","08116012","2707","1620","60","18612","18612","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","18612","None","None","None","None","None","Bissingen an der Teck",9.491179,48.599972
"35","08116014","5300","2972","27","50054","50054","None","6584","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","43470","None","None","None","None","None","Deizisau",9.384075,48.712039
"36","08116015","8081","3949","50","66572","66572","23334","14242","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","28996","None","None","None","None","None","Denkendorf",9.31755,48.694154
"37","08116016","4810","2500","63","32172","32172","None","6225","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10585","None","None","None","None","None","None","None","None","15362","None","None","None","None","None","Dettingen unter Teck",9.45268,48.61725
